date_posted,latitude,longitude
2017-02-10,40.7305991,-73.9865811
2017-02-12,40.7305991,-73.9865811
2017-02-12,40.7305991,-73.9865811
2017-02-10,40.7305991,-73.9865811
2017-02-12,40.7305991,-73.9865811
2017-02-12,40.7305991,-73.9865811
2017-02-10,40.7305991,-73.9865811
2017-02-11,40.7305991,-73.9865811
2017-02-09,40.7305991,-73.9865811
2017-02-03,40.7305991,-73.9865811
2017-02-10,40.7305991,-73.9865811
2017-02-09,40.7305991,-73.9865811
2017-02-12,40.7305991,-73.9865811
2017-02-12,40.7305991,-73.9865811
2017-02-12,40.7305991,-73.9865811
2017-02-12,40.7305991,-73.9865811
2017-02-12,40.7305991,-73.9865811
2017-02-12,40.7305991,-73.9865811
2017-02-09,40.7305991,-73.9865811
2017-02-12,40.7305991,-73.9865811
2017-02-12,40.7305991,-73.9865811
2017-02-09,40.7305991,-73.9865811
2017-01-23,40.7305991,-73.9865811
2017-02-12,40.7305991,-73.9865811
2017-02-12,40.7305991,-73.9865811
2017-02-02,40.7305991,-73.9865811
2017-02-07,40.7305991,-73.9865811
2017-02-11,40.7305991,-73.9865811
2017-02-12,40.7305991,-73.9865811
2017-02-10,40.7305991,-73.9865811
2017-02-12,40.7305991,-73.9865811
2017-02-09,40.7305991,-73.9865811
2017-02-12,40.7305991,-73.9865811
2017-02-12,40.7305991,-73.9865811
2017-02-09,40.7305991,-73.9865811
2017-01-30,40.7305991,-73.9865811
2017-01-24,40.7305991,-73.9865811
2017-02-10,40.7305991,-73.9865811
2017-02-12,40.7305991,-73.9865811
2017-02-12,40.7305991,-73.9865811
2017-01-26,40.7305991,-73.9865811
2017-02-02,40.7305991,-73.9865811
2017-01-31,40.7305991,-73.9865811
2017-02-12,40.7305991,-73.9865811
2017-02-10,40.7305991,-73.9865811
2017-02-08,40.7305991,-73.9865811
2017-02-07,40.7305991,-73.9865811
2017-02-10,40.7305991,-73.9865811
2017-02-12,40.7305991,-73.9865811
2017-02-11,40.7305991,-73.9865811
2017-02-10,40.7305991,-73.9865811
2017-02-09,40.7305991,-73.9865811
2017-01-26,40.7305991,-73.9865811
2017-02-11,40.7305991,-73.9865811
2017-02-12,40.7305991,-73.9865811
2017-02-10,40.7305991,-73.9865811
2017-02-12,40.7305991,-73.9865811
2017-02-12,40.7305991,-73.9865811
2017-02-12,40.7305991,-73.9865811
2017-02-12,40.7305991,-73.9865811
2017-02-08,40.7305991,-73.9865811
2017-01-26,40.7305991,-73.9865811
2017-02-10,40.7305991,-73.9865811
2017-02-10,40.7305991,-73.9865811
2017-02-12,40.7305991,-73.9865811
2017-02-12,40.7305991,-73.9865811
2017-02-03,40.7305991,-73.9865811
2017-02-12,40.7305991,-73.9865811
2017-02-10,40.7305991,-73.9865811
2017-02-03,40.7305991,-73.9865811
2017-02-10,40.7305991,-73.9865811
2017-02-10,40.7305991,-73.9865811
2017-02-12,40.7305991,-73.9865811
2017-02-12,40.7305991,-73.9865811
2017-02-10,40.7305991,-73.9865811
2017-02-10,40.7305991,-73.9865811
2017-01-25,40.7305991,-73.9865811
2017-02-09,40.7305991,-73.9865811
2017-02-12,40.7305991,-73.9865811
2017-02-12,40.7305991,-73.9865811
2017-02-10,40.7305991,-73.9865811
2017-02-02,40.7305991,-73.9865811
2017-01-25,40.7305991,-73.9865811
2017-02-08,40.7305991,-73.9865811
2017-02-01,40.7305991,-73.9865811
2017-02-12,40.7305991,-73.9865811
2017-02-10,40.7305991,-73.9865811
2017-02-10,40.7305991,-73.9865811
2017-02-03,40.7305991,-73.9865811
2017-02-08,40.7305991,-73.9865811
2017-01-30,40.7305991,-73.9865811
2017-02-09,40.7305991,-73.9865811
2017-02-08,40.7305991,-73.9865811
